id,display_name,internal_name,sku,category,supplier_name,location,unit,base_weight,trim_percentage,cost_per_unit,stock,allergen_tags,benefits,is_active
370254fd-bee8-40f9-8fb5-774ef286402a,Sliced Pickled Turnips,Sliced Pickled Turnips,EBD-1449,Pantry,Wholesale Club  - 014,Sauces / Jar Veg Shelf - 025,Kgs,3,0,3.83,9.9221,,,True
4dd04ffa-c089-4ea1-b74b-3ddf79861c9d,Soya And Sesame Oil,Soya And Sesame Oil,EBD-17,Pantry,Wholesale Club  - 014,Sauces / Jar Veg Shelf - 025,Kgs,3.8,0,5.6553,0,,,True
e21c3d8f-660a-42ab-8b36-57cd2d7f2646,Spaghetti,Spaghetti,EBD-140,Pantry,Wholesale Club  - 014,Starches / Gf Shelf - 029,Kgs,9.07,0,2.8104,0,,,True
4a64b37b-2c27-4653-ad4b-41250b78f819,Spicy Tag for Dislikes,Spicy Tag for Dislikes,EBD-1489,Pantry,n / a,Dry Storage,each,1,0,0,0,,,True
67cf2231-2bc2-4289-a0d4-ce860cad84bc,Sriracha Hot Sauce,Sriracha Hot Sauce,EBD-37,Pantry,Wholesale Club  - 014,Sauces / Jar Veg Shelf - 025,Kgs,0.82,0,5.4756,0,,,True
9945253b-9b30-4790-9538-37189cbf3d81,Sriracha Tabasco Sauce,Sriracha Tabasco Sauce,1333563,Pantry,GFS - 003,No Category - 020,Kgs,3.78,0,15.873,5.5987,,,True
6ce5dd4f-c3b6-47b0-9da6-87c92353ac6c,"Stanislaus, Al Dente Pasta, Sauce","Stanislaus, Al Dente Pasta, Sauce",2569805,Pantry,GFS - 003,No Category - 020,Kgs,17.04,0,3.7113,27.1032,,,True
a0729fb3-65f2-4404-bbb5-3b524a2761d5,Sundried Tomatoes (Tootsi),Sundried Tomatoes (Tootsi),EBD-458,Pantry,Tootsi - 009,Misc Bulk Shelf - 019,Kgs,10,0,12.4,0,,,True
52934472-7c7e-4ba7-ac32-2f7beab5a3bb,Sunspun Cracked Black Pepper,Sunspun Cracked Black Pepper,EBD-2086,Pantry,Wholesale Club  - 014,No Category - 020,Kgs,0.42,0,22.5952,0.9997,,,True
b1093ca1-1dcc-40fa-9f76-f25414f6dea4,Sunspun Italian Seasoning,Sunspun Italian Seasoning,EBD-2865,Pantry,Wholesale Club  - 014,No Category - 020,Kgs,0.15,0,21.9333,0.1331,,,True
872b6394-3225-4f3d-ba90-89ba94ce2689,Sunspun Linguini Pasta,Sunspun Linguini Pasta,EBD-2600,Pantry,Wholesale Club  - 014,No Category - 020,Kgs,9.07,0,3.086,0,,,True
62019633-7224-4015-83d4-787ad31d17d2,Sunspun or no name Chili Powder,Sunspun or no name Chili Powder,EBD-229,Pantry,Wholesale Club  - 014,Spice Shelf - 028,Kgs,0.6,0,12.4833,0.6647,,,True
